Generacion,Mejor individuo,Mejor Fitness,Violaciones
1,[0.2269047  0.17899316 0.01459149 0.1390779  0.26234596 0.18491403],0.007319403855535847,0
2,[0.2122048  0.19296314 0.06816467 0.25392366 0.1933226  0.0751514 ],0.005874913876306944,0
3,[0.2122048  0.19296314 0.06816467 0.25392366 0.1933226  0.0751514 ],0.005874913876306944,0
4,[0.2122048  0.19296314 0.06816467 0.25392366 0.1933226  0.0751514 ],0.005874913876306944,0
5,[0.2080277  0.1489878  0.08493189 0.18676695 0.2263726  0.14289795],0.004976592244093291,0
6,[0.18297312 0.23539366 0.06291721 0.18067881 0.20105421 0.13971856],0.004902727539446706,0
7,[0.19006877 0.21931636 0.03986611 0.16228599 0.23086051 0.1602653 ],0.003951417876739817,0
8,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
9,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
10,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
11,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
12,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
13,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
14,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
15,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
16,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
17,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
18,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
19,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
20,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
21,[0.23144878 0.25428132 0.04117471 0.23255025 0.13426475 0.10758486],0.003183850072751947,0
22,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
23,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
24,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
25,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
26,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
27,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
28,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
29,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
30,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
31,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
32,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
33,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
34,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
35,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
36,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
37,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
38,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
39,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
40,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
41,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
42,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
43,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
44,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
45,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
46,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
47,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
48,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
49,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
50,[0.19787714 0.17312349 0.05226135 0.21829126 0.16896034 0.18924342],0.0031236134660589474,0
51,[0.20300021 0.21906279 0.03078852 0.24556292 0.15034371 0.14874022],0.0030965562684095813,0
52,[0.26758046 0.18155001 0.04510741 0.21061576 0.1536712  0.14052362],0.0025181908288436712,0
53,[0.26758046 0.18155001 0.04510741 0.21061576 0.1536712  0.14052362],0.0025181908288436712,0
54,[0.26758046 0.18155001 0.04510741 0.21061576 0.1536712  0.14052362],0.0025181908288436712,0
55,[0.26758046 0.18155001 0.04510741 0.21061576 0.1536712  0.14052362],0.0025181908288436712,0
