Generacion,Mejor Fitness,Violaciones,Fitness Secundario,x1,x2,x3,x4,x5,x6
1,0.00941417398213805,0,-0.3668784595374571,0.2696057457672814,0.10079698798561805,0.04865297525053225,0.08050277017642182,0.19285452933216862,0.31001710532833526
2,0.00941417398213805,0,-0.3668784595374571,0.2696057457672814,0.10079698798561805,0.04865297525053225,0.08050277017642182,0.19285452933216862,0.31001710532833526
3,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
4,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
5,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
6,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
7,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
8,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
9,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
10,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
11,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
12,0.0029647448430108613,0,-0.39907383025010723,0.19458546219585082,0.16169480773909645,0.030780962968756577,0.2053449765651562,0.22866670829293095,0.17868260498144545
