Generacion,Mejor individuo,Mejor Fitness
1,[0.08025619 0.05682768 0.30245418 0.34916333 0.10391723 0.09953991],-0.5884697486762017
2,[0.082222   0.17622203 0.37501446 0.27326871 0.02023125 0.07270564],-0.6332132467902628
3,[0.082222   0.17622203 0.37501446 0.27326871 0.02023125 0.07270564],-0.6332132467902628
4,[0.082222   0.17622203 0.37501446 0.27326871 0.02023125 0.07270564],-0.6332132467902628
5,[0.082222   0.17622203 0.37501446 0.27326871 0.02023125 0.07270564],-0.6332132467902628
6,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
7,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
8,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
9,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
10,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
11,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
12,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
13,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
14,[0.082222   0.17622203 0.37501446 0.27326871 0.02513242 0.07270564],-0.6333949175148542
15,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
16,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
17,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
18,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
19,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
20,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
21,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
22,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
23,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
24,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
25,[0.09989453 0.13508698 0.39854983 0.18067675 0.11133543 0.06932035],-0.6349760766907052
