Generacion,Mejor individuo,Mejor Fitness
1,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
2,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
3,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
4,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
5,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
6,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
7,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
8,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
9,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
10,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
11,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
12,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
13,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
14,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
15,[0.13069719 0.00638537 0.32123298 0.36177424 0.14357035 0.02963941],-0.6013859500433406
16,[0.13069719 0.01022919 0.32123298 0.36177424 0.14357035 0.02963941],-0.606673935334029
17,[0.13069719 0.01022919 0.32123298 0.36177424 0.14357035 0.02963941],-0.606673935334029
18,[0.13069719 0.01022919 0.32123298 0.36177424 0.14357035 0.02963941],-0.606673935334029
19,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
20,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
21,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
22,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
23,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
24,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
25,[0.13069719 0.01910434 0.32123298 0.36177424 0.14357035 0.02963941],-0.6075953011957612
26,[0.10255888 0.10980025 0.34574461 0.21407458 0.16142583 0.06156332],-0.6097993300533872
27,[0.10255888 0.10980025 0.34574461 0.21407458 0.16142583 0.06156332],-0.6097993300533872
28,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
29,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
30,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
31,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
32,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
33,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
34,[0.11168512 0.11934162 0.39353993 0.19671848 0.11523371 0.06207038],-0.6357892780388968
35,[0.02141879 0.13680024 0.3768976  0.22679171 0.15513554 0.07704029],-0.643008045341491
36,[0.02141879 0.13680024 0.3768976  0.22679171 0.15513554 0.07704029],-0.643008045341491
37,[0.02141879 0.13680024 0.3768976  0.22679171 0.15513554 0.07704029],-0.643008045341491
38,[0.02141879 0.13680024 0.3768976  0.22679171 0.15513554 0.07704029],-0.643008045341491
39,[0.06079211 0.13025352 0.39370045 0.19804367 0.14243895 0.07855859],-0.6472423187596962
40,[0.06079211 0.13025352 0.39370045 0.19804367 0.14243895 0.07855859],-0.6472423187596962
41,[0.06079211 0.13025352 0.39370045 0.19804367 0.14243895 0.07855859],-0.6472423187596962
42,[0.05912308 0.12923735 0.39487014 0.19701407 0.14207892 0.07643146],-0.6476122195547489
