Generacion,Mejor individuo,Mejor Fitness
102,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
103,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
104,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
105,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
106,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
107,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
108,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
109,[0.05959091 0.1203052  0.39050715 0.10020519 0.26385677 0.06823838],-0.6441707931756165
110,[0.05949712 0.12028649 0.39769864 0.10013091 0.26035746 0.06814038],-0.6466559557883429
111,[0.05949712 0.12028649 0.39769864 0.10013091 0.26035746 0.06814038],-0.6466559557883429
112,[0.05949712 0.12028649 0.39769864 0.10013091 0.26035746 0.06814038],-0.6466559557883429
113,[0.05949712 0.12028649 0.39769864 0.10013091 0.26035746 0.06814038],-0.6466559557883429
114,[0.05949712 0.12028649 0.39769864 0.10013091 0.26035746 0.06814038],-0.6466559557883429
115,[0.08390795 0.13059275 0.39314008 0.13343315 0.24888251 0.01400539],-0.6486051592722819
116,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
117,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
118,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
119,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
120,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
121,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
122,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
123,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
124,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
125,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
126,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
127,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
128,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
