Generacion,Mejor individuo,Mejor Fitness
1,[0.06384351 0.15723951 0.39268858 0.32297041 0.01161544 0.06800259],-0.6319618629941529
2,[0.06384351 0.15723951 0.39268858 0.32297041 0.01161544 0.06800259],-0.6319618629941529
3,[0.06384351 0.15723951 0.39268858 0.32297041 0.01161544 0.06800259],-0.6319618629941529
4,[0.06384351 0.15723951 0.39268858 0.32297041 0.01161544 0.06800259],-0.6319618629941529
5,[0.06384351 0.15723951 0.39268858 0.32297041 0.01161544 0.06800259],-0.6319618629941529
6,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
7,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
8,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
9,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
10,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
11,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
12,[0.05538096 0.17113401 0.36932059 0.32433381 0.01602594 0.06535502],-0.6411780563368775
13,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
14,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
15,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
16,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
17,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
18,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
19,[0.07375282 0.03858681 0.38527906 0.23799202 0.18619107 0.08328714],-0.6432764282786176
20,[0.07948415 0.1226894  0.3830394  0.24982616 0.11723961 0.05020597],-0.6437535008709343
21,[0.07948415 0.1226894  0.3830394  0.24982616 0.11723961 0.05020597],-0.6437535008709343
22,[0.07948415 0.1226894  0.3830394  0.24982616 0.11723961 0.05020597],-0.6437535008709343
