Indicador,x1,x2,x3,x4,x5,x6,Fitness,Fitness Secundario
Mejor,1.0184036863193944e-08,0.11473797680417741,0.39999048367555873,0.3475577490550149,0.14352531476010216,4.232035181157807e-05,-0.6845668897549255,0.04371198563866284
Media,4.459753231739366e-09,0.210864897889261,0.39999906528424156,0.20124892459032176,0.19462892590707376,3.7797632396009364e-07,-0.6501893654228779,0.052637642393784136
Peor,4.11940119349993e-09,0.21010550801803782,0.3999991390457109,0.24087752493926073,0.23548550595847687,1.7807052513307977e-08,0.03066075860127171,0.05151290980306516
