Indicador,x0,x1,x2,x3,x4,x5,Fitness,Fitness Secundario
Mejor (Fitness),1.9528597588567e-09,1.0575294191884357e-06,0.39999769481664726,0.39998512627238736,0.20237923356190085,1.4712106176211464e-08,-0.6925267165639166,0.045598448503149314
Peor (Fitness),3.8896461247484155e-06,0.09683034553116235,0.3999999409523002,0.14060996087550579,0.3602873936707253,0.005074198316786388,-0.6774416935079416,0.05327726701861146
Media,1.4822103771799e-05,0.07539864935230131,0.3999970404017318,0.32498904387034583,0.19728963251697337,0.005243339300480121,-0.6853849184988512,0.04572051515139616
Desv. Estándar,2.7732336583368454e-05,0.040505297921597225,3.480104712450376e-06,0.09580748020427812,0.08500606468954602,0.008166995262854642,0.005294516015824753,0.00389791250772775
