Indicador,x0,x1,x2,x3,x4,x5,Fitness,Fitness Secundario
Mejor (Fitness),0.28629573819715254,0.15518872758462027,0.021816050504335154,0.23903185645324904,0.15113838277371808,0.14630646993987276,0.0020767433195336385,-0.3771859890138028
Peor (Fitness),0.25559210155690554,0.12449844693461706,0.051816053572434156,0.23403400859713133,0.18246102928775487,0.15147160360007045,0.003066458580593451,-0.40161438044730846
Media,0.24174071503342232,0.15692905655487485,0.031157110628699025,0.20630229221494267,0.2092048350962487,0.15463184105348712,0.002599848965885486,-0.39119037995622274
Desv. Estándar,0.03570915140783461,0.018423287161677373,0.010726770791907878,0.027348176810704766,0.04029441647297988,0.012224349585172819,0.0004244430221317746,0.009582771325994556
