Generacion,Mejor individuo,Mejor Fitness,Violaciones
1,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
2,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
3,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
4,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
5,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
6,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
7,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
8,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
9,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
10,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
11,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
12,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
13,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
14,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
15,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
16,[0.04492271 0.35765438 0.37599982 0.06498778 0.12098889 0.04919045],-0.6192152895120687,0
17,[0.08249855 0.24807597 0.37133016 0.10542325 0.11972444 0.06994   ],-0.6198840654975583,0
18,[0.08249855 0.24807597 0.37133016 0.10542325 0.11972444 0.06994   ],-0.6198840654975583,0
19,[0.08249855 0.24807597 0.37133016 0.10542325 0.11972444 0.06994   ],-0.6198840654975583,0
20,[0.06454576 0.11332821 0.38021556 0.11550275 0.21898749 0.11974959],-0.6199317553807665,0
21,[0.09418697 0.18158928 0.37769162 0.15241748 0.13260733 0.06644831],-0.6274977776630073,0
22,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
23,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
24,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
25,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
26,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
27,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
28,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
29,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
30,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
31,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
32,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
33,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
34,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
35,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
36,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
37,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
38,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
39,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
40,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
41,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
42,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
43,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
44,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
45,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
46,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
47,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
48,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
49,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
50,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
51,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
52,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
53,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
54,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
55,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
56,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
57,[0.03627193 0.26569698 0.37315024 0.13384622 0.14041486 0.05286447],-0.6388667757652673,0
58,[0.05790367 0.24745509 0.37970795 0.13282374 0.14961388 0.03448538],-0.6404037949695232,0
59,[0.05790367 0.24745509 0.37970795 0.13282374 0.14961388 0.03448538],-0.6404037949695232,0
60,[0.05790367 0.24745509 0.37970795 0.13282374 0.14961388 0.03448538],-0.6404037949695232,0
