Indicador,x0,x1,x2,x3,x4,x5,Fitness,Fitness Secundario
Mejor (Fitness),9.984699364577793e-12,0.001877193169432154,0.3999999999971244,0.39999989033312905,0.20035357915944246,1.7442553825675212e-11,-0.6924534271133048,0.04548295206519124
Peor (Fitness),1.6045218436796113e-11,2.0730936724802662e-11,0.3999950872683812,0.35991238543300236,0.06892297243527507,0.1724112633468316,-0.6632250423161442,0.03973487059610265
Media,5.206731350499064e-12,0.14093481545471964,0.3999990155624394,0.3580501006831073,0.06890047358794986,0.03448225267293169,-0.6796516678999771,0.04768661836287481
Desv. Estándar,6.657221842238826e-12,0.13722817898963535,1.9641490143715e-06,0.06571576121873553,0.06965281117358892,0.06896450533694995,0.010853515521399924,0.009739385381559872
