Indicador,alpha,delta,Fitness
Mejor (Fitness),0.217504920528146,0.09381188940309128,-0.5569266749852654
Peor (Fitness),0.12401856290394449,0.3453662485078726,-0.3728629569960928
Media,0.16365923888959544,0.173408371729999,-0.4853776744542646
Desv. Estándar,0.04731059184637256,0.11652057016016434,0.07537874751142314
